1.361727836	3.0689276	3.3199384	3.4695275	3.4173056	3.4116197	2.9907827	3.2276296	3.4626974	3.3224261	3.2523675	3.3334473	3.1994809	3.3628593	3.3995007	3.2390491	3.2452658	3.2024883	3.1749316	3.27738	3.1541195	3.2049335
1.380211242	3.0884905	3.3374593	3.486147	3.4320067	3.4258601	3.0124154	3.2538224	3.4851533	3.3484996	3.2801229	3.3537239	3.2271151	3.3875678	3.4219328	3.2688119	3.2787536	3.2347703	3.2046625	3.3029799	3.1835545	3.2372923
1.397940009	3.1205739	3.3641756	3.5122841	3.456973	3.4510185	3.0390173	3.2882492	3.5164031	3.3832767	3.3176455	3.3823773	3.2664669	3.4250449	3.4551495	3.3104809	3.3186893	3.276002	3.2432861	3.3358589	3.224274	3.2839793
1.414973348	3.1401937	3.3827373	3.5285311	3.4720247	3.4656802	3.0530784	3.3117539	3.5365584	3.4051755	3.3412366	3.3986343	3.2915908	3.4470029	3.4749443	3.3362596	3.3467441	3.3025474	3.2695129	3.3583156	3.2518815	3.3142887
1.431363764	3.1679078	3.4073909	3.5516939	3.4955443	3.4888326	3.0777312	3.3436055	3.564074	3.4374334	3.377124	3.4242281	3.3257209	3.478855	3.5029731	3.3738311	3.3818368	3.3374593	3.2999429	3.3838154	3.2855573	3.3494718
1.447158031	3.1835545	3.4243916	3.5656117	3.5102768	3.5018805	3.0937718	3.3651134	3.5829719	3.4605972	3.4017451	3.4409091	3.3498601	3.4996871	3.521661	3.3988077	3.4094259	3.3653007	3.3257209	3.4067105	3.3104809	3.3763944
1.462397998	3.2035768	3.4443571	3.584105	3.5300716	3.5200903	3.1149444	3.3900515	3.6064889	3.4874212	3.4312029	3.462398	3.3800302	3.5278876	3.5471591	3.4315246	3.4409091	3.3977663	3.3558345	3.4321673	3.3408405	3.4079005
1.477121255	3.2137833	3.4571246	3.593729	3.5402043	3.5294304	3.1277525	3.4077307	3.6225249	3.5067755	3.4496327	3.4745076	3.3986343	3.544068	3.5621739	3.4522466	3.4629966	3.4206158	3.3769418	3.450557	3.361161	3.4294293
1.491361694	3.2314696	3.4749443	3.6098078	3.5577477	3.5462958	3.1504494	3.4307199	3.64365	3.5324996	3.4752352	3.4934581	3.4266739	3.5698419	3.5851222	3.4812993	3.4912216	3.4480877	3.4022614	3.4714384	3.3841741	3.4556061
1.505149978	3.2420442	3.4910814	3.6215917	3.5704262	3.557868	3.1676127	3.4549972	3.6661434	3.5573869	3.4989994	3.507316	3.4523998	3.5909532	3.6051973	3.5059635	3.5202214	3.4742163	3.4294293	3.4954056	3.4079005	3.4825878
